title,director,genres
Dune: Parte dos,Denis Villeneuve,Action
Godzilla Minus One,Takashi Yamazaki,Action
th Fail,Vidhu Vinod Chopra,Biography
Oppenheimer,Christopher Nolan,Biography
Spider-Man: Cruzando el multiverso,not found,not found
Top Gun: Maverick,Joseph Kosinski,Action
Spider-Man: No Way Home,Jon Watts,Action
Jai Bhim,T.J. Gnanavel,Crime
Hamilton,Thomas Kail,Biography
El padre,Florian Zeller,Drama
Klaus,Sergio Pablos,Animation
Joker,Todd Phillips,Crime
Le Mans,James Mangold,Action
Parásitos,Bong Joon Ho,Drama
Vengadores: Endgame,Anthony Russo,Action
Spider-Man: Un nuevo universo,Bob Persichetti,Animation
Green Book,Peter Farrelly,Biography
Cafarnaúm,Nadine Labaki,Drama
Vengadores: Infinity War,Anthony Russo,Action
Coco,Lee Unkrich,Animation
Tres anuncios en las afueras,Martin McDonagh,Comedy
Logan,James Mangold,Action
Dangal,Nitesh Tiwari,Action
Hasta el último hombre (Hacksaw Ridge),Mel Gibson,Biography
Your Name,Makoto Shinkai,Animation
La doncella,Park Chan-wook,Drama
La habitación,Luis Piedrahita,Mystery
Spotlight,Tom McCarthy,Biography
Del revés (Inside Out),Pete Docter,Animation
Mad Max: Furia en la carretera,George Miller,Action
Interstellar,Christopher Nolan,Adventure
Perdida,not found,not found
Relatos salvajes,Damián Szifron,Comedy
El gran hotel Budapest,Alejandro Peña-Ayala,News
Whiplash,Damien Chazelle,Drama
