title,year,rating
Dune: Parte dos,2024,8.7
Godzilla Minus One,2023,8.3
th Fail,2023,9.0
Oppenheimer,2023,8.3
Spider-Man: Cruzando el multiverso,2023,8.6
Top Gun: Maverick,2022,8.2
Spider-Man: No Way Home,2021,8.2
Jai Bhim,2021,8.7
Hamilton,2020,8.3
El padre,2020,8.2
,2019,8.2
Klaus,2019,8.2
Joker,2019,8.4
Le Mans ',2019,8.1
Parásitos,2019,8.5
Vengadores: Endgame,2019,8.4
Spider-Man: Un nuevo universo,2018,8.4
Green Book,2018,8.2
Cafarnaúm,2018,8.4
Vengadores: Infinity War,2018,8.4
Coco,2017,8.4
Tres anuncios en las afueras,2017,8.1
Logan,2017,8.1
Dangal,2016,8.3
Hasta el último hombre (Hacksaw Ridge),2016,8.1
Your Name,2016,8.4
La doncella,2016,8.1
La habitación,2015,8.1
Spotlight,2015,8.1
Del revés (Inside Out),2015,8.1
Mad Max: Furia en la carretera,2015,8.1
Interstellar,2014,8.7
Perdida,2014,8.1
Relatos salvajes,2014,8.1
El gran hotel Budapest,2014,8.1
Whiplash,2014,8.5
